title,cluster
Chemoinformatics Strategies for Leishmaniasis Drug Discovery.,8
The Literature of Chemoinformatics: 1978-2018.,8
A Deep Learning Approach to Antibiotic Discovery.,8
Machine learning in chemoinformatics and drug discovery.,8
Intelligently Applying Artificial Intelligence in Chemoinformatics.,8
Machine Learning in Chemoinformatics and Medicinal Chemistry.,1
Chemoinformatics for the Safety of Energetic and Reactive Materials at Ineris.,8
"Chemoinformatics at IFP Energies Nouvelles: Applications in the Fields of Energy, Transport, and Environment.",8
Chemoinformatics View on Bitter Taste Receptor Agonists in Food.,7
Chemoinformatics-based enumeration of chemical libraries: a tutorial.,8
Repurposing Drugs for Skin Cancer.,3
Repurposing of drugs as STAT3 inhibitors for cancer therapy.,3
Peptide-Drug Conjugates with Different Linkers for Cancer Therapy.,3
Identification of a chromatin regulator signature and potential candidate drugs for bladder cancer.,8
Repurposing of drugs: An attractive pharmacological strategy for cancer therapeutics.,3
EGFR targeting for cancer therapy: Pharmacology and immunoconjugates with drugs and nanoparticles.,3
"Barriers for Pharmaceutical Innovation With Focus in Cancer Drugs, the Case of Mexico.",2
Strategies for the treatment of breast cancer: from classical drugs to mathematical models.,3
Mechanism of Drug Tolerant Persister Cancer Cells: The Landscape and Clinical Implication for Therapy.,3
Developing Novel Drug Candidates and Repurposed Drugs for Prostate Cancer Based on Molecular Profiles.,3
An update on drugs with therapeutic potential for SARS-CoV-2 (COVID-19) treatment.,3
Coronavirus Disease (COVID-19): Current Status and Prospects for Drug and Vaccine Development.,2
"COVID-19 Transmission, Current Treatment, and Future Therapeutic Strategies.",3
A Guide to COVID-19: a global pandemic caused by the novel coronavirus SARS-CoV-2.,2
"A Comprehensive Review of COVID-19 Virology, Vaccines, Variants, and Therapeutics.",2
BNT162b2 mRNA COVID-19 Vaccine: First Approval.,2
Recent Developments on Therapeutic and Diagnostic Approaches for COVID-19.,2
Recent advances in management of COVID-19: A review.,2
COVID-19 vaccines: The status and perspectives in delivery points of view.,2
"Virology, pathogenesis, diagnosis and in-line treatment of COVID-19.",2
A Review of Food-Drug Interactions on Oral Drug Absorption.,7
Food-drug interactions precipitated by fruit juices other than grapefruit juice: An update review.,7
"Old and new oral anticoagulants: Food, herbal medicines and drug interactions.",7
The mechanisms of pharmacokinetic food-drug interactions - A perspective from the UNGAP group.,7
Clinically Significant Food-Drug Interactions.,7
The Clinical Significance of Drug-Food Interactions of Direct Oral Anticoagulants.,7
Second generation H1 - antihistamines interaction with food and alcohol-A systematic review.,7
Selected Food/Herb-Drug Interactions: Mechanisms and Clinical Relevance.,7
"Food, gastrointestinal pH, and models of oral drug absorption.",7
Transporter-Mediated Drug-Drug Interactions and Their Significance.,7
The Evolution of Gene Expression in cis and trans.,6
Gene expression variability: the other dimension in transcriptome analysis.,6
Visualizing transcription: key to understanding gene expression dynamics.,6
Emerging Principles of Gene Expression Programs and Their Regulation.,6
Spatiotemporal single-cell analysis of gene expression in the mouse suprachiasmatic nucleus.,6
[Supergenes:Generalists in Gene Expression].,6
ImaGEO: integrative gene expression meta-analysis from GEO database.,1
Does Gene Expression Noise Play a Functional Role in Plants?,6
Intrinsic Dynamics of a Human Gene Reveal the Basis of Expression Heterogeneity.,6
Aptamers in RNA-based switches of gene expression.,6
"Personalized medicine: motivation, challenges, and progress.",4
Next Generation Sequencing (NGS): A Revolutionary Technology in Pharmacogenomics and Personalized Medicine in Cancer.,1
Ethical Issues Surrounding Personalized Medicine: A Literature Review.,4
Pharmacogenomics and Personalized Medicine.,1
Atopic dermatitis phenotypes and the need for personalized medicine.,3
Personalized Regenerative Medicine.,4
Personalized Medicine and the Power of Electronic Health Records.,4
Clinical Applications of Personalized Medicine: A New Paradigm and Challenge.,4
Enabling Technologies for Personalized and Precision Medicine.,3
Organoids for Drug Discovery and Personalized Medicine.,4
RNA sequencing: the teenage years.,5
Single-cell RNA sequencing technologies and bioinformatics pipelines.,5
Comparative Analysis of Single-Cell RNA Sequencing Methods.,5
RNA sequencing: new technologies and applications in cancer research.,5
Single-cell RNA sequencing: Technical advancements and biological applications.,5
Review of Single-Cell RNA Sequencing in the Heart.,3
Single-Cell RNA Sequencing Analysis: A Step-by-Step Overview.,5
Introduction to Single-Cell RNA Sequencing.,5
Single-cell RNA sequencing in pancreatic cancer.,5
Transcriptome Sequencing: RNA-Seq.,6
Bioinformatics Methods in Medical Genetics and Genomics.,1
Integrative single-cell analysis.,1
BioBERT: a pre-trained biomedical language representation model for biomedical text mining.,9
Generating the Blood Exposome Database Using a Comprehensive Text Mining and Database Fusion Approach.,8
Text Mining-Based Drug Discovery in Osteoarthritis.,6
A Survey of Data Mining and Deep Learning in Bioinformatics.,1
miRBase: from microRNA sequences to function.,1
Big Data Analytics in Medicine and Healthcare.,1
Open Agile text mining for bioinformatics: the PubAnnotation ecosystem.,9
Bioinformatics: new tools and applications in life science and personalized medicine.,1
Toxicogenomics: A 2020 Vision.,0
Comparative Toxicogenomics Database (CTD): update 2021.,8
Toxicogenomics in Environmental Science.,0
Toxicogenomics: A New Paradigm for Nanotoxicity Evaluation.,0
Toxicogenomics and Molecular Markers in Pollution.,0
"Transcriptomics in Toxicogenomics, Part III: Data Modelling for Risk Assessment.",0
"The promise of toxicogenomics for genetic toxicology: past, present and future.",0
Advances in Single-Cell Toxicogenomics in Environmental Toxicology.,0
Toxicogenomics - What added Value Do These Approaches Provide for Carcinogen Risk Assessment?,0
"Transcriptomics in Toxicogenomics, Part II: Preprocessing and Differential Expression Analysis for High Quality Data.",0
