PMID,Title,Abstract,MH,Test,CleanedText,cluster
29680748,The Evolution of Gene Expression in cis and trans.,"There is abundant variation in gene expression between individuals, populations, and species. The evolution of gene regulation and expression within and between species is thought to frequently contribute to adaptation. Yet considerable evidence suggests that the primary evolutionary force acting on variation in gene expression is stabilizing selection. We review here the results of recent studies characterizing the evolution of gene expression occurring in cis (via linked polymorphisms) or in trans (through diffusible products of other genes) and their contribution to adaptation and response to the environment. We review the evidence for buffering of variation in gene expression at the level of both transcription and translation, and the possible mechanisms for this buffering. Lastly, we summarize unresolved questions about the evolution of gene regulation.","Animals Evolution, Molecular Gene Expression/*genetics Gene Expression Regulation/*genetics Humans Polymorphism, Genetic/*genetics","The Evolution of Gene Expression in cis and trans. There is abundant variation in gene expression between individuals, populations, and species. The evolution of gene regulation and expression within and between species is thought to frequently contribute to adaptation. Yet considerable evidence suggests that the primary evolutionary force acting on variation in gene expression is stabilizing selection. We review here the results of recent studies characterizing the evolution of gene expression occurring in cis (via linked polymorphisms) or in trans (through diffusible products of other genes) and their contribution to adaptation and response to the environment. We review the evidence for buffering of variation in gene expression at the level of both transcription and translation, and the possible mechanisms for this buffering. Lastly, we summarize unresolved questions about the evolution of gene regulation. Animals Evolution, Molecular Gene Expression/*genetics Gene Expression Regulation/*genetics Humans Polymorphism, Genetic/*genetics",evolut gene express cis tran abund variat gene express individu popul speci evolut gene regul express within speci thought frequent contribut adapt yet consider evid suggest primari evolutionari forc act variat gene express stabil select review result recent studi character evolut gene express occur cis via link polymorph tran diffus product gene contribut adapt respons environ review evid buffer variat gene express level transcript translat possibl mechan buffer last summar unresolv question evolut gene regul anim evolut molecular gene express gene express regul human polymorph genet,7
30875273,Gene expression variability: the other dimension in transcriptome analysis.,"Transcriptome sequencing is a powerful technique to study molecular changes that underlie the differences in physiological conditions and disease progression. A typical question that is posed in such studies is finding genes with significant changes between sample groups. In this respect expression variability is regarded as a nuisance factor that is primarily of technical origin and complicates the data analysis. However, it is becoming apparent that the biological variation in gene expression might be an important molecular phenotype that can affect physiological parameters. In this review we explore the recent literature on technical and biological variability in gene expression, sources of expression variability, (epi-)genetic hallmarks, and evolutionary constraints in genes with robust and variable gene expression. We provide an overview of recent findings on effects of external cues, such as diet and aging, on expression variability and on other biological phenomena that can be linked to it. We discuss metrics and tools that were developed for quantification of expression variability and highlight the importance of future studies in this direction. To assist the adoption of expression variability analysis, we also provide a detailed description and computer code, which can easily be utilized by other researchers. We also provide a reanalysis of recently published data to highlight the value of the analysis method.","Epigenomics Gene Expression Profiling/*methods High-Throughput Nucleotide Sequencing Sequence Analysis, RNA/*methods Transcriptome/genetics/physiology","Gene expression variability: the other dimension in transcriptome analysis. Transcriptome sequencing is a powerful technique to study molecular changes that underlie the differences in physiological conditions and disease progression. A typical question that is posed in such studies is finding genes with significant changes between sample groups. In this respect expression variability is regarded as a nuisance factor that is primarily of technical origin and complicates the data analysis. However, it is becoming apparent that the biological variation in gene expression might be an important molecular phenotype that can affect physiological parameters. In this review we explore the recent literature on technical and biological variability in gene expression, sources of expression variability, (epi-)genetic hallmarks, and evolutionary constraints in genes with robust and variable gene expression. We provide an overview of recent findings on effects of external cues, such as diet and aging, on expression variability and on other biological phenomena that can be linked to it. We discuss metrics and tools that were developed for quantification of expression variability and highlight the importance of future studies in this direction. To assist the adoption of expression variability analysis, we also provide a detailed description and computer code, which can easily be utilized by other researchers. We also provide a reanalysis of recently published data to highlight the value of the analysis method. Epigenomics Gene Expression Profiling/*methods High-Throughput Nucleotide Sequencing Sequence Analysis, RNA/*methods Transcriptome/genetics/physiology",gene express dimens transcriptom analysi transcriptom sequenc power techniqu studi molecular chang underli differ physiolog condit diseas progress typic question pose studi find gene signific chang sampl group respect express variabl regard nuisanc factor primarili technic origin complic data analysi howev becom appar biolog variat gene express might import molecular phenotyp affect physiolog paramet review explor recent literatur technic biolog variabl gene express sourc express variabl genet hallmark evolutionari constraint gene robust variabl gene express provid overview recent find effect extern cue diet age express variabl biolog phenomena link discuss metric tool develop quantif express variabl highlight import futur studi direct assist adopt express variabl analysi also provid detail descript comput code easili util research also provid reanalysi recent publish data highlight valu analysi method epigenom gene express profil nucleotid sequenc sequenc analysi rna transcriptom genet physiolog,7
31284216,Visualizing transcription: key to understanding gene expression dynamics.,"Visualization of transcription in living cells has taught us that genes are often transcribed in bursts, with periods of gene activity interspersed by periods of inactivity. Recently, technological advances in live-cell imaging have provided a more detailed picture of the characteristics of transcriptional bursts, and have allowed direct visualization of the upstream regulatory steps of bursting at single-molecule resolution. In this review, we highlight the latest insights into transcription dynamics and we discuss recent developments in understanding the regulation of transcriptional bursting through the binding kinetics of transcription factors, enhancer-promoter interactions and clustering/phase separation of the transcriptional machinery.","*Gene Expression Transcription Factors/metabolism *Transcription, Genetic","Visualizing transcription: key to understanding gene expression dynamics. Visualization of transcription in living cells has taught us that genes are often transcribed in bursts, with periods of gene activity interspersed by periods of inactivity. Recently, technological advances in live-cell imaging have provided a more detailed picture of the characteristics of transcriptional bursts, and have allowed direct visualization of the upstream regulatory steps of bursting at single-molecule resolution. In this review, we highlight the latest insights into transcription dynamics and we discuss recent developments in understanding the regulation of transcriptional bursting through the binding kinetics of transcription factors, enhancer-promoter interactions and clustering/phase separation of the transcriptional machinery. *Gene Expression Transcription Factors/metabolism *Transcription, Genetic",visual key understand gene express dynam visual transcript live cell taught gene often transcrib burst period gene activ interspers period inact recent technolog advanc imag provid detail pictur characterist transcript burst allow direct visual upstream regulatori step burst resolut review highlight latest insight transcript dynam discuss recent develop understand regul transcript burst bind kinet transcript factor interact cluster phase separ transcript machineri express transcript factor metabol genet,7
30075140,Emerging Principles of Gene Expression Programs and Their Regulation.,"Many mechanisms contribute to regulation of gene expression to ensure coordinated cellular behaviors and fate decisions. Transcriptional responses to external signals can consist of many hundreds of genes that can be parsed into different categories based on kinetics of induction, cell-type and signal specificity, and duration of the response. Here we discuss the structure of transcription programs and suggest a basic framework to categorize gene expression programs based on characteristics related to their control mechanisms. We also discuss possible evolutionary implications of this framework.","Animals Gene Expression Regulation/*genetics/physiology Humans Organ Specificity/genetics Signal Transduction/physiology Transcription Factors/*metabolism Transcription, Genetic/genetics Transcriptome/genetics","Emerging Principles of Gene Expression Programs and Their Regulation. Many mechanisms contribute to regulation of gene expression to ensure coordinated cellular behaviors and fate decisions. Transcriptional responses to external signals can consist of many hundreds of genes that can be parsed into different categories based on kinetics of induction, cell-type and signal specificity, and duration of the response. Here we discuss the structure of transcription programs and suggest a basic framework to categorize gene expression programs based on characteristics related to their control mechanisms. We also discuss possible evolutionary implications of this framework. Animals Gene Expression Regulation/*genetics/physiology Humans Organ Specificity/genetics Signal Transduction/physiology Transcription Factors/*metabolism Transcription, Genetic/genetics Transcriptome/genetics",emerg principl gene express program regul mani mechan contribut regul gene express ensur coordin cellular behavior fate decis transcript respons extern signal consist mani hundr gene pars differ categori base kinet induct signal specif durat respons discuss structur transcript program suggest basic framework categor gene express program base characterist relat control mechan also discuss possibl evolutionari implic framework anim gene express regul physiolog human organ specif genet signal transduct physiolog transcript factor transcript genet genet transcriptom genet,7
32066983,Spatiotemporal single-cell analysis of gene expression in the mouse suprachiasmatic nucleus.,"Mammalian circadian behaviors are orchestrated by the suprachiasmatic nucleus (SCN) in the ventral hypothalamus, but the number of SCN cell types and their functional roles remain unclear. We have used single-cell RNA-sequencing to identify the basic cell types in the mouse SCN and to characterize their circadian and light-induced gene expression patterns. We identified eight major cell types, with each type displaying a specific pattern of circadian gene expression. Five SCN neuronal subtypes, each with specific combinations of markers, differ in their spatial distribution, circadian rhythmicity and light responsiveness. Through a complete three-dimensional reconstruction of the mouse SCN at single-cell resolution, we obtained a standardized SCN atlas containing the spatial distribution of these subtypes and gene expression. Furthermore, we observed heterogeneous circadian gene expression between SCN neuron subtypes. Such a spatiotemporal pattern of gene regulation within the SCN may have an important function in the circadian pacemaker.","Animals Atlases as Topic Circadian Rhythm/physiology Circadian Rhythm Signaling Peptides and Proteins/genetics Gene Expression/*physiology/radiation effects Gene Expression Regulation/physiology Genomics Light Male Mice Mice, Inbred C57BL Neurons/classification/*physiology Photic Stimulation *Single-Cell Analysis Suprachiasmatic Nucleus/anatomy & histology/cytology/*physiology","Spatiotemporal single-cell analysis of gene expression in the mouse suprachiasmatic nucleus. Mammalian circadian behaviors are orchestrated by the suprachiasmatic nucleus (SCN) in the ventral hypothalamus, but the number of SCN cell types and their functional roles remain unclear. We have used single-cell RNA-sequencing to identify the basic cell types in the mouse SCN and to characterize their circadian and light-induced gene expression patterns. We identified eight major cell types, with each type displaying a specific pattern of circadian gene expression. Five SCN neuronal subtypes, each with specific combinations of markers, differ in their spatial distribution, circadian rhythmicity and light responsiveness. Through a complete three-dimensional reconstruction of the mouse SCN at single-cell resolution, we obtained a standardized SCN atlas containing the spatial distribution of these subtypes and gene expression. Furthermore, we observed heterogeneous circadian gene expression between SCN neuron subtypes. Such a spatiotemporal pattern of gene regulation within the SCN may have an important function in the circadian pacemaker. Animals Atlases as Topic Circadian Rhythm/physiology Circadian Rhythm Signaling Peptides and Proteins/genetics Gene Expression/*physiology/radiation effects Gene Expression Regulation/physiology Genomics Light Male Mice Mice, Inbred C57BL Neurons/classification/*physiology Photic Stimulation *Single-Cell Analysis Suprachiasmatic Nucleus/anatomy & histology/cytology/*physiology",spatiotempor analysi gene express mous suprachiasmat nucleus mammalian circadian behavior orchestr suprachiasmat nucleus scn ventral hypothalamus number scn cell type function role remain unclear use identifi basic cell type mous scn character circadian gene express pattern identifi eight major cell type type display specif pattern circadian gene express five scn neuron subtyp specif combin marker differ spatial distribut circadian rhythmic light respons complet reconstruct mous scn resolut obtain standard scn atlas contain spatial distribut subtyp gene express furthermor observ heterogen circadian gene express scn neuron subtyp spatiotempor pattern gene regul within scn may import function circadian pacemak anim atlas topic circadian rhythm physiolog circadian rhythm signal peptid protein genet gene express radiat effect gene express regul physiolog genom light male mice mice inbr neuron classif photic stimul analysi suprachiasmat nucleus anatomi histolog cytolog,7
33966708,[Supergenes:Generalists in Gene Expression].,"In eukaryote cells,transcription from genome DNA is a key process of gene expression.The transcription products contain not only messenger RNAs that code proteins,but also various types of non-coding RNAs.During transcription,some of the gene loci produce more than one kind of RNA molecule,including coding RNAs and more often non-coding RNAs.These gene loci that generate several kinds of RNA molecules are named supergenes.According to the transcription pattern,supergenes are divided into three types,known as types Ⅰ,Ⅱ and Ⅲ.In this review,we summarize the transcription pattern of each type of supergene,and exposit the role of these genes in cells.","Gene Expression *RNA, Messenger","[Supergenes:Generalists in Gene Expression]. In eukaryote cells,transcription from genome DNA is a key process of gene expression.The transcription products contain not only messenger RNAs that code proteins,but also various types of non-coding RNAs.During transcription,some of the gene loci produce more than one kind of RNA molecule,including coding RNAs and more often non-coding RNAs.These gene loci that generate several kinds of RNA molecules are named supergenes.According to the transcription pattern,supergenes are divided into three types,known as types Ⅰ,Ⅱ and Ⅲ.In this review,we summarize the transcription pattern of each type of supergene,and exposit the role of these genes in cells. Gene Expression *RNA, Messenger",gene eukaryot cell transcript genom dna key process gene express transcript product contain messeng rnas code protein also various type rnas transcript gene loci produc one kind rna molecul includ code rnas often rnas gene loci generat sever kind rna molecul name supergen accord transcript pattern supergen divid three type known type review summar transcript pattern type supergen exposit role gene cell gene express messeng,7
30137226,ImaGEO: integrative gene expression meta-analysis from GEO database.,"SUMMARY: The Gene Expression Omnibus (GEO) database provides an invaluable resource of publicly available gene expression data that can be integrated and analyzed to derive new hypothesis and knowledge. In this context, gene expression meta-analysis (geMAs) is increasingly used in several fields to improve study reproducibility and discovering robust biomarkers. Nevertheless, integrating data is not straightforward without bioinformatics expertise. Here, we present ImaGEO, a web tool for geMAs that implements a complete and comprehensive meta-analysis workflow starting from GEO dataset identifiers. The application integrates GEO datasets, applies different meta-analysis techniques and provides functional analysis results in an easy-to-use environment. ImaGEO is a powerful and useful resource that allows researchers to integrate and perform meta-analysis of GEO datasets to lead robust findings for biomarker discovery studies. AVAILABILITY AND IMPLEMENTATION: ImaGEO is accessible at http://bioinfo.genyo.es/imageo/. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.","Biomarkers Databases, Factual Gene Expression *Gene Expression Profiling Reproducibility of Results","ImaGEO: integrative gene expression meta-analysis from GEO database. SUMMARY: The Gene Expression Omnibus (GEO) database provides an invaluable resource of publicly available gene expression data that can be integrated and analyzed to derive new hypothesis and knowledge. In this context, gene expression meta-analysis (geMAs) is increasingly used in several fields to improve study reproducibility and discovering robust biomarkers. Nevertheless, integrating data is not straightforward without bioinformatics expertise. Here, we present ImaGEO, a web tool for geMAs that implements a complete and comprehensive meta-analysis workflow starting from GEO dataset identifiers. The application integrates GEO datasets, applies different meta-analysis techniques and provides functional analysis results in an easy-to-use environment. ImaGEO is a powerful and useful resource that allows researchers to integrate and perform meta-analysis of GEO datasets to lead robust findings for biomarker discovery studies. AVAILABILITY AND IMPLEMENTATION: ImaGEO is accessible at http://bioinfo.genyo.es/imageo/. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online. Biomarkers Databases, Factual Gene Expression *Gene Expression Profiling Reproducibility of Results",integr gene express geo databas gene express omnibus geo databas provid invalu resourc public avail gene express data integr analyz deriv new hypothesi knowledg context gene express gema increas use sever field improv studi reproduc discov robust biomark nevertheless integr data straightforward without bioinformat expertis present imageo web tool gema implement complet comprehens workflow start geo dataset identifi applic integr geo dataset appli differ techniqu provid function analysi result environ imageo power use resourc allow research integr perform geo dataset lead robust find biomark discoveri studi avail imageo access bioinfo genyo imageo supplementari supplementari data avail bioinformat onlin biomark databas factual gene express express profil reproduc result,7
32467064,Does Gene Expression Noise Play a Functional Role in Plants?,"Gene expression in individual cells can be surprisingly noisy. In unicellular organisms this noise can be functional; for example, by allowing a subfraction of the population to prepare for environmental stress. The role of gene expression noise in multicellular organisms has, however, remained unclear. In this review, we discuss how new techniques are revealing an unexpected level of variability in gene expression between and within genetically identical plants. We describe recent progress as well as speculate on the function of transcriptional noise as a mechanism for generating functional phenotypic diversity in plants.","Gene Expression *Plants/genetics *Stress, Physiological","Does Gene Expression Noise Play a Functional Role in Plants? Gene expression in individual cells can be surprisingly noisy. In unicellular organisms this noise can be functional; for example, by allowing a subfraction of the population to prepare for environmental stress. The role of gene expression noise in multicellular organisms has, however, remained unclear. In this review, we discuss how new techniques are revealing an unexpected level of variability in gene expression between and within genetically identical plants. We describe recent progress as well as speculate on the function of transcriptional noise as a mechanism for generating functional phenotypic diversity in plants. Gene Expression *Plants/genetics *Stress, Physiological",gene express nois play function role plant gene express individu cell surpris noisi unicellular organ nois exampl allow subfract popul prepar environment stress role gene express nois multicellular organ howev remain unclear review discuss new techniqu reveal unexpect level variabl gene express within genet ident plant describ recent progress well specul function transcript nois mechan generat function phenotyp divers plant gene express genet physiolog,7
30554876,Intrinsic Dynamics of a Human Gene Reveal the Basis of Expression Heterogeneity.,"Transcriptional regulation in metazoans occurs through long-range genomic contacts between enhancers and promoters, and most genes are transcribed in episodic ""bursts"" of RNA synthesis. To understand the relationship between these two phenomena and the dynamic regulation of genes in response to upstream signals, we describe the use of live-cell RNA imaging coupled with Hi-C measurements and dissect the endogenous regulation of the estrogen-responsive TFF1 gene. Although TFF1 is highly induced, we observe short active periods and variable inactive periods ranging from minutes to days. The heterogeneity in inactive times gives rise to the widely observed ""noise"" in human gene expression and explains the distribution of protein levels in human tissue. We derive a mathematical model of regulation that relates transcription, chromosome structure, and the cell's ability to sense changes in estrogen and predicts that hypervariability is largely dynamic and does not reflect a stable biological state.","Estrogen Receptor alpha/metabolism Estrogens Gene Expression/genetics/*physiology Gene Expression Regulation/*physiology Humans Models, Theoretical Promoter Regions, Genetic/physiology RNA, Messenger/metabolism Single-Cell Analysis/methods Transcription, Genetic/genetics/*physiology Transcriptional Activation/physiology Trefoil Factor-1/genetics","Intrinsic Dynamics of a Human Gene Reveal the Basis of Expression Heterogeneity. Transcriptional regulation in metazoans occurs through long-range genomic contacts between enhancers and promoters, and most genes are transcribed in episodic ""bursts"" of RNA synthesis. To understand the relationship between these two phenomena and the dynamic regulation of genes in response to upstream signals, we describe the use of live-cell RNA imaging coupled with Hi-C measurements and dissect the endogenous regulation of the estrogen-responsive TFF1 gene. Although TFF1 is highly induced, we observe short active periods and variable inactive periods ranging from minutes to days. The heterogeneity in inactive times gives rise to the widely observed ""noise"" in human gene expression and explains the distribution of protein levels in human tissue. We derive a mathematical model of regulation that relates transcription, chromosome structure, and the cell's ability to sense changes in estrogen and predicts that hypervariability is largely dynamic and does not reflect a stable biological state. Estrogen Receptor alpha/metabolism Estrogens Gene Expression/genetics/*physiology Gene Expression Regulation/*physiology Humans Models, Theoretical Promoter Regions, Genetic/physiology RNA, Messenger/metabolism Single-Cell Analysis/methods Transcription, Genetic/genetics/*physiology Transcriptional Activation/physiology Trefoil Factor-1/genetics",intrins dynam human gene reveal basi express heterogen transcript regul metazoan occur genom contact enhanc promot gene transcrib episod burst rna synthesi understand relationship two phenomena dynam regul gene respons upstream signal describ use rna imag coupl measur dissect endogen regul gene although high induc observ short activ period variabl inact period rang minut day heterogen inact time give rise wide observ nois human gene express explain distribut protein level human tissu deriv mathemat model regul relat transcript chromosom structur cell abil sens chang estrogen predict hypervari larg dynam reflect stabl biolog state estrogen receptor alpha metabol estrogen gene express genet gene express regul human model theoret promot region genet physiolog rna messeng metabol analysi method transcript genet genet transcript activ physiolog trefoil genet,7
31811992,Aptamers in RNA-based switches of gene expression.,"The ability to control gene expression via small molecule effectors is important in basic research as well as in future gene therapy applications. Although transcription factor-based systems are widely used, they are not well suited for certain applications due to a lack of functionality, limited available coding space, and potential immunogenicity of the regulatory proteins. RNA-based switches fill this gap since they can be designed to respond to effector compounds utilizing ligand-sensing aptamers. These systems are very modular since the aptamer can be combined with a variety of different expression platforms. RNA-based switches have been constructed that allow for controlling gene expression in diverse contexts. Here we discuss latest developments and applications of aptamer-based gene expression switches in eukaryotes.","*Aptamers, Nucleotide Gene Expression Gene Expression Regulation Ligands *RNA/genetics","Aptamers in RNA-based switches of gene expression. The ability to control gene expression via small molecule effectors is important in basic research as well as in future gene therapy applications. Although transcription factor-based systems are widely used, they are not well suited for certain applications due to a lack of functionality, limited available coding space, and potential immunogenicity of the regulatory proteins. RNA-based switches fill this gap since they can be designed to respond to effector compounds utilizing ligand-sensing aptamers. These systems are very modular since the aptamer can be combined with a variety of different expression platforms. RNA-based switches have been constructed that allow for controlling gene expression in diverse contexts. Here we discuss latest developments and applications of aptamer-based gene expression switches in eukaryotes. *Aptamers, Nucleotide Gene Expression Gene Expression Regulation Ligands *RNA/genetics",aptam switch gene express abil control gene express via small molecul effector import basic research well futur gene therapi applic although transcript system wide use well suit certain applic due lack function limit avail code space potenti immunogen regulatori protein switch fill gap sinc design respond effector compound util aptam system modular sinc aptam combin varieti differ express platform switch construct allow control gene express divers context discuss latest develop applic gene express switch eukaryot nucleotid gene express gene express regul ligand genet,7
