title,cluster
Chemoinformatics Strategies for Leishmaniasis Drug Discovery.,0
The Literature of Chemoinformatics: 1978-2018.,0
A Deep Learning Approach to Antibiotic Discovery.,0
Machine learning in chemoinformatics and drug discovery.,0
Intelligently Applying Artificial Intelligence in Chemoinformatics.,0
Machine Learning in Chemoinformatics and Medicinal Chemistry.,0
Chemoinformatics for the Safety of Energetic and Reactive Materials at Ineris.,0
"Chemoinformatics at IFP Energies Nouvelles: Applications in the Fields of Energy, Transport, and Environment.",0
Chemoinformatics View on Bitter Taste Receptor Agonists in Food.,5
Chemoinformatics-based enumeration of chemical libraries: a tutorial.,0
Repurposing Drugs for Skin Cancer.,0
Repurposing of drugs as STAT3 inhibitors for cancer therapy.,1
Peptide-Drug Conjugates with Different Linkers for Cancer Therapy.,0
Identification of a chromatin regulator signature and potential candidate drugs for bladder cancer.,7
Repurposing of drugs: An attractive pharmacological strategy for cancer therapeutics.,1
EGFR targeting for cancer therapy: Pharmacology and immunoconjugates with drugs and nanoparticles.,1
"Barriers for Pharmaceutical Innovation With Focus in Cancer Drugs, the Case of Mexico.",0
Strategies for the treatment of breast cancer: from classical drugs to mathematical models.,1
Mechanism of Drug Tolerant Persister Cancer Cells: The Landscape and Clinical Implication for Therapy.,4
Developing Novel Drug Candidates and Repurposed Drugs for Prostate Cancer Based on Molecular Profiles.,9
An update on drugs with therapeutic potential for SARS-CoV-2 (COVID-19) treatment.,1
Coronavirus Disease (COVID-19): Current Status and Prospects for Drug and Vaccine Development.,1
"COVID-19 Transmission, Current Treatment, and Future Therapeutic Strategies.",1
A Guide to COVID-19: a global pandemic caused by the novel coronavirus SARS-CoV-2.,1
"A Comprehensive Review of COVID-19 Virology, Vaccines, Variants, and Therapeutics.",1
BNT162b2 mRNA COVID-19 Vaccine: First Approval.,1
Recent Developments on Therapeutic and Diagnostic Approaches for COVID-19.,1
Recent advances in management of COVID-19: A review.,1
COVID-19 vaccines: The status and perspectives in delivery points of view.,1
"Virology, pathogenesis, diagnosis and in-line treatment of COVID-19.",1
A Review of Food-Drug Interactions on Oral Drug Absorption.,7
Food-drug interactions precipitated by fruit juices other than grapefruit juice: An update review.,5
"Old and new oral anticoagulants: Food, herbal medicines and drug interactions.",5
The mechanisms of pharmacokinetic food-drug interactions - A perspective from the UNGAP group.,7
Clinically Significant Food-Drug Interactions.,5
The Clinical Significance of Drug-Food Interactions of Direct Oral Anticoagulants.,5
Second generation H1 - antihistamines interaction with food and alcohol-A systematic review.,5
Selected Food/Herb-Drug Interactions: Mechanisms and Clinical Relevance.,5
"Food, gastrointestinal pH, and models of oral drug absorption.",7
Transporter-Mediated Drug-Drug Interactions and Their Significance.,7
The Evolution of Gene Expression in cis and trans.,2
Gene expression variability: the other dimension in transcriptome analysis.,2
Visualizing transcription: key to understanding gene expression dynamics.,2
Emerging Principles of Gene Expression Programs and Their Regulation.,2
Spatiotemporal single-cell analysis of gene expression in the mouse suprachiasmatic nucleus.,2
[Supergenes:Generalists in Gene Expression].,2
ImaGEO: integrative gene expression meta-analysis from GEO database.,2
Does Gene Expression Noise Play a Functional Role in Plants?,2
Intrinsic Dynamics of a Human Gene Reveal the Basis of Expression Heterogeneity.,2
Aptamers in RNA-based switches of gene expression.,2
"Personalized medicine: motivation, challenges, and progress.",6
Next Generation Sequencing (NGS): A Revolutionary Technology in Pharmacogenomics and Personalized Medicine in Cancer.,6
Ethical Issues Surrounding Personalized Medicine: A Literature Review.,6
Pharmacogenomics and Personalized Medicine.,6
Atopic dermatitis phenotypes and the need for personalized medicine.,6
Personalized Regenerative Medicine.,6
Personalized Medicine and the Power of Electronic Health Records.,6
Clinical Applications of Personalized Medicine: A New Paradigm and Challenge.,6
Enabling Technologies for Personalized and Precision Medicine.,6
Organoids for Drug Discovery and Personalized Medicine.,6
RNA sequencing: the teenage years.,4
Single-cell RNA sequencing technologies and bioinformatics pipelines.,4
Comparative Analysis of Single-Cell RNA Sequencing Methods.,4
RNA sequencing: new technologies and applications in cancer research.,4
Single-cell RNA sequencing: Technical advancements and biological applications.,4
Review of Single-Cell RNA Sequencing in the Heart.,4
Single-Cell RNA Sequencing Analysis: A Step-by-Step Overview.,4
Introduction to Single-Cell RNA Sequencing.,4
Single-cell RNA sequencing in pancreatic cancer.,4
Transcriptome Sequencing: RNA-Seq.,4
Bioinformatics Methods in Medical Genetics and Genomics.,9
Integrative single-cell analysis.,4
BioBERT: a pre-trained biomedical language representation model for biomedical text mining.,8
Generating the Blood Exposome Database Using a Comprehensive Text Mining and Database Fusion Approach.,8
Text Mining-Based Drug Discovery in Osteoarthritis.,2
A Survey of Data Mining and Deep Learning in Bioinformatics.,0
miRBase: from microRNA sequences to function.,9
Big Data Analytics in Medicine and Healthcare.,3
Open Agile text mining for bioinformatics: the PubAnnotation ecosystem.,8
Bioinformatics: new tools and applications in life science and personalized medicine.,9
Toxicogenomics: A 2020 Vision.,0
Comparative Toxicogenomics Database (CTD): update 2021.,9
Toxicogenomics in Environmental Science.,3
Toxicogenomics: A New Paradigm for Nanotoxicity Evaluation.,2
Toxicogenomics and Molecular Markers in Pollution.,3
"Transcriptomics in Toxicogenomics, Part III: Data Modelling for Risk Assessment.",3
"The promise of toxicogenomics for genetic toxicology: past, present and future.",0
Advances in Single-Cell Toxicogenomics in Environmental Toxicology.,4
Toxicogenomics - What added Value Do These Approaches Provide for Carcinogen Risk Assessment?,3
"Transcriptomics in Toxicogenomics, Part II: Preprocessing and Differential Expression Analysis for High Quality Data.",3
