index,CleanedText,Title,Similarity score
0,repurpos drug skin cancer drug repurpos process develop exist abandon drug differ diseas repurpos circumv higher cost time associ convent drug discoveri strategi toxic pharmacokinet profil typic alreadi establish brief review focus effort repurpos drug skin cancer includ reus antihypertens anthelmint antifung among rang medicin repurpos usher promis known drug new indic process repurpos uncov new mechanist insight pathogenesi diseas uncov new opportun pharmaceut intervent drug discoveri reposit human pharmaceut prepar neoplasm drug therapi,Repurposing Drugs for Skin Cancer.,tensor(1.0000)
4,repurpos attract pharmacolog strategi cancer therapeut human malign one major issu though world anticip rise futur develop novel drug agent requir huge amount cost time repres major challeng drug discoveri last three decad number fda approv drug drop led increas interest drug reposit repurpos present review focus recent concept therapeut opportun util antidiabet antibiot antifung antipsychot pde inhibitor estrogen receptor antagonist antabus antiparasit cardiovascular agent drug altern approach human malign repurpos approv drug effect strategi develop new therapeut option treatment cancer patient afford cost clinic current scenario countri throughout globe unabl meet medic need cancer patient high cost avail cancer drug drug display potenti activ preclin clinic studi regul sever key molecular mechan oncogen pathway human malign emerg piec evid indic repurpos drug crucial faster cheaper discoveri drug anim antineoplast agent use discoveri drug reposit human neoplasm therapi pharmaceut prepar dosag,Repurposing of drugs: An attractive pharmacological strategy for cancer therapeutics.,tensor(0.7840)
1,repurpos drug inhibitor cancer therapi drug repurpos valuabl approach deliv new cancer therapeut rapid clinic exist safeti patient toler data drug alreadi clinic use repres untap resourc term identifi therapeut agent protein target multicellular effect mediat rang various upstream signal pathway make attract therapeut target util rang diseas includ cancer led develop varieti inhibitor moreov heighten transcript activ tumor cell within cell tumor microenviron contribut diseas progress consequ mani inhibitor preclin develop evalu clinic trial therapeut efficaci predomin inflammatori diseas cancer despit advanc mani challeng remain ultim provid inhibitor patient cancer treatment highlight need better understand mechan associ activ also various pharmaceut agent suppress activ various cancer review discuss import function cancer review status compound design inhibitor describ strategi repurpos drug inhibitor cancer therapi anim antineoplast agent use discoveri drug reposit human neoplasm therapi pharmaceut prepar dosag transcript factor inhibitor,Repurposing of drugs as STAT3 inhibitors for cancer therapy.,tensor(0.7351)
9,develop novel drug candid repurpos drug prostat cancer base molecular profil prostat cancer pca carri grow burden societi lack curat treatment poor prognosi among patient advanc pca impli urgent need novel improv drug identif hamper diseas high molecular heterogen complex molecular pathophysiolog result drug effici patient cancer develop resist treatment novo drug discoveri proven complex challeng along technolog advanc main link approach allow comprehens character molecular chang under diseas consid respect develop bioinformat comput drug repurpos emerg promis approach shorten way discoveri clinic applic address diseas molecular complex articl aim review recent studi drug compound pca defin investig molecular profil data applic drug repurpos strategi brief overview technic requir associ challeng latter also provid purpos literatur search conduct use pubm databas numer drug compound propos potenti pca therapeut most base investig genom transcriptom data case assess diseas model requir sinc ultim protein target drug expand use proteom profil data alon combin expect advanc defin new repurpos drug pca comput biolog drug reposit genom human male prepar neoplasm drug therapi genet,Developing Novel Drug Candidates and Repurposed Drugs for Prostate Cancer Based on Molecular Profiles.,tensor(0.6905)
6,barrier pharmaceut innov focus cancer drug case mexico drug innov generat econom growth also portray countri effort toward innov articl review current status innov mexican pharmaceut industri focus cancer drug author examin scientif nonscientif literatur search origin innov cancer drug well regulatori frame drug approv mexico articl present narrat analysi author experi barrier imped pharmaceut innov mexico best author knowledg domest approv cofepri mexican health regulatori agenc anticanc product develop reposit approach among barrier imped drug innov mexico limit insuffici fund discoveri unafford limit capac perform preclin studi good laboratori practic glp lengthi clinic trial unfavor condit clinic trial academ domest pharmaceut unclear polici drug approv market author state specif propos overcom barrier generat climat increas particip academ exist domest pharmaceut industri well increas ventur capit favor compani conclus mexico human resourc materi infrastructur innov implement construct propos matter polit agent drug approv drug industri human mexico drug therapi prepar,"Barriers for Pharmaceutical Innovation With Focus in Cancer Drugs, the Case of Mexico.",tensor(0.6833)
2,conjug differ linker cancer therapi drug conjug chemotherapeut cytotox agent coval link target ligand antibodi peptid via linker conjug adc clinic establish cancer therapi conjug pdcs gain recognit new modal target drug deliveri improv efficaci reduc side effect cancer treatment linker drug conjug play key role circul time conjug releas drug full activ target site herein highlight main linker chemistri util design pdcs discuss repres exampl pdcs differ linker chemistri relat outcom cell anim studi amino acid sequenc anim antineoplast agent chemistri use cell line tumor human neoplasm therapi oxim chemistri peptid pharmaceut prepar triazol chemistri xenograft model antitumor assay,Peptide-Drug Conjugates with Different Linkers for Cancer Therapy.,tensor(0.6678)
4,atop dermat phenotyp need person medicin purpos describ recent develop therapi target molecular mechan atop dermat recent current advanc understand molecular basi atop dermat lead stratif differ atop dermat phenotyp new therapi offer option molecul involv pathophysiolog atop dermat current new therapi investig aim modul specif inflammatori pathway associ distinct atop dermat phenotyp would potenti translat develop person treatment atop dermat despit unmet need well toler effect person treatment atop dermat current standard treatment atop dermat focus individu pathogenesi diseas develop target therapi potenti open new promis era individu treatment atop dermat biomark metabol dermat atop human precis medicin trend,Atopic dermatitis phenotypes and the need for personalized medicine.,tensor(0.6624)
8,mechan drug toler persist cancer landscap clinic implic therapi minor popul cancer cell may evad cell death chemotherapi target therapi enter revers slow prolifer state known drug toler persist dtp state dtp state allow cancer cell surviv drug therapi long enough addit mechan acquir drug resist develop thus cancer persist major obstacl cure cancer insight biolog dtp cell therapeut strategi target mechan consider clinic implic emerg evid dtp cell adapt new environ epigenom modif transcriptom regul flexibl energi metabol interact tumor microenviron herein review discuss various propos mechan cancer persist cell molecular featur under dtp state insight potenti therapeut strategi conquer dtp cell prevent cancer recurr therapeut failur human neoplasm neoplasm recurr local prepar tumor microenviron,Mechanism of Drug Tolerant Persister Cancer Cells: The Landscape and Clinical Implication for Therapy.,tensor(0.6486)
3,pharmacogenom person medicin pharmacogenom one emerg approach precis medicin tailor drug select dose patient genet featur recent year sever pharmacogenet guidelin publish intern scientif consortia uptak clinic practic still poor mani coordin intern effort ongo order overcom exist barrier pharmacogenom implement hand exist valid pharmacogenom marker explain minor part observ clinic variabl therapeut outcom new investig approach warrant includ studi pharmacogenom role immun system genet previous neglect rare genet variant report account larg part variabl drug metabol special issu collect seri articl cover mani aspect pharmacogenom includ clinic implement pharmacogenom clinic practic develop tool infrastractur support process research new pharmacogenom marker increas drug efficaci safeti impact rare genet variant pharmacogenom human pharmacogenom test medicin,Pharmacogenomics and Personalized Medicine.,tensor(0.6352)
7,strategi treatment breast classic drug mathemat model breast cancer one common cancer general affect women heterogen diseas present differ entiti differ biolog characterist differenti clinic behavior mind literatur review main object analyz path taken simpl use classic drug applic mathemat model mani ongo studi consid one reliabl strategi explain reason chemotherapi alway success besid common mention strategi immunotherapi includ techniqu therapi use antibodi cytokin antitumor vaccin oncolyt genom virus among other nanoparticl includ metal magnet polymer liposom dendrim micell other well drug reus process new therapeut indic found exist approv drug common use pharmacolog categori cardiac antiparasit anthelmint antivir antibiot other effici develop reus drug must process exchang purpos method inform alreadi avail better understand comput mathemat model use method blind search screen base target knowledg signatur pathway network mechan direct stand conclud note differ strategi appli alon combin alway improv breast cancer treatment neoplasm drug therapi femal human immunotherapi model theoret prepar,Strategies for the treatment of breast cancer: from classical drugs to mathematical models.,tensor(0.6141)
5,egfr target cancer pharmacolog immunoconjug drug nanoparticl epiderm growth factor receptor egfr belong tyrosin kinas receptor famili present epitheli cell membran endogen activ occur bind differ endogen ligand includ epiderm growth factor egf lead signal cascad abl maintain normal cellular function although involv develop mainten tissu normal condit egfr overexpress stimul growth progress tumor result angiogenesi invas metastasi main cascad ras raf mapk akt stat besid consid limit convent chemotherapi result high toxic low tumor specif egfr current consid import target result sever monoclon antibodi current approv use cancer treatment cetuximab ctx panitumumab nimotuzumab necitumumab other clinic trial aim combin chemotherapeut agent toxic specif target egfr overexpress tumor tissu two main strategi discuss conjug adc conjug anc briefli adc consist antibodi coval link spacer cytotox drug upon administr bind egfr endocytosi adc suffer chemic enzymat reaction lead releas accumul drug instead anc consist formul lipid polymer inorgan nanoparticl abl protect drug inactiv allow control releas also passiv accumul tumor tissu enhanc permeabl retent effect epr furthermor anc undergo activ target egfr endocytosi lead format lysosom drug releas cytosol herein present discuss import aspect regard egfr structur role intern signal pathway downregul aspect consid egfr potenti therapeut target cancer therapi monoclon antibodi abl target receptor present discuss final adc anc state art review recent studi clinic progress highlight best knowledg first review paper address specif egfr target applic adc anc agent erbb receptor drug therapi prepar,EGFR targeting for cancer therapy: Pharmacology and immunoconjugates with drugs and nanoparticles.,tensor(0.5573)
